Platz,Titel,Interpret,Vorw.,Differenz
1,Never Be Lonely,Jax Jones x Zoe Wees,,
2,Texas Hold Em,Beyoncé,,
3,Simple Life,Leony,,
4,Magic Moment,Glockenbach x Chris de Sarandy,,
5,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
6,Whatever,Kygo x Ava Max,,
7,So Good,Kamrad,,
8,Stumblin' In,Cyril,,
9,Love U Again,ClockClock,,
10,Training Season,Dua Lipa,,
11,I Don't Wanna Wait,David Guetta x OneRepublic,,
12,Always On The Run,Isaak,,
13,We Can't Be Friends (Wait For Your Love),Ariana Grande,,
14,Head Down,Lost Frequencies x Bastille,,
15,Overdrive,Ofenbach feat. Norma Jean Martini,,
16,Fortnight,Taylor Swift feat. Post Malone,,
17,Lovers In A Past Life,Calvin Harris x Rag'n'Bone Man,,
18,Loyal To Myself,Lena,,
19,Somewhere Close To Heaven,Rea Garvey x Picture This,,
20,All We Got,Ray Dalton,,
21,Belong Together,Mark Ambor,,
22,Gimme Your Hand,Samu Haber,,
23,Houdini,Dua Lipa,,
24,Memory Lane,Zara Larsson,,
25,Heard It All,Iggi Kelly,,
26,Selfish,Justin Timberlake,,
27,Where You Are,Fast Boy x Nico Santos,,
28,Too Sweet,Hozier,,
29,Illusion,Dua Lipa,,
30,Am I Enough,Loi,,
31,Piano,Kelvin Jones,,
32,Strangers,Kenya Grace,,
33,Know That You're Not Alone,Catburns,,
34,I'll Be There,Robin Schulz & Rita Ora & Tiago PZK,,
35,Electricity,Fast Boy x R3hab,,
36,Austin (Boots Stop Workin'),Dasha,,
37,Love Hurt Repeat,Alle Farben x Lewis Thompson feat. Mae Muller,,
38,Greedy,Tate McRae,,
39,Head Underwater,Tom Walker,,
40,Is It Over Now? (Taylor's Version),Taylor Swift,,
