Platz,Titel,Interpret,beste Platzierung,alte Nummer 1?
1,Austin (Boots Stop Workin'),Dasha,,
2,Wave,Fast Boy x Raf,,
3,Belong Together,Mark Ambor,,
4,I Like The Way You Kiss Me,Artemas,,
5,Shut Up And Dance,Sophie and the Giants,,
6,I Don't Wanna Wait,David Guetta x OneRepublic,,
7,Always On The Run,Isaak,,
8,Beat Of Your Heart,Purple Disco Machine x ÁSDÍS,,
9,Feels Like I'm Falling In Love,Coldplay,,
10,Stumblin' In,Cyril,,
11,Cruel Summer,Taylor Swift,,
12,Sleep Alone,Iggi Kelly,,
13,Whatever,Kygo x Ava Max,,
14,Human Being,Nico Santos,,
15,Loyal To Myself,Lena,,
16,Beautiful Reason,Michael Schulte,,
17,Never Be Lonely,Jax Jones x Zoe Wees,,
18,A Bar Song (Tipsy),Shaboozey,,
19,Fire,Meduza x OneRepublic x Leony,,
20,Te Imaginaba,Alvaro Soler,,
21,Memory Lane,Zara Larsson,,
22,All In,YouNotUs x Laurell,,
23,Dancing In The Flames,The Weeknd,,
24,The Way I Want It,Loi,,
25,Texas Hold Em,Beyoncé,,
26,Head Down,Lost Frequencies x Bastille,,
27,Illusion,Dua Lipa,,
28,Espresso,Sabrina Carpenter,,
29,Someday Soon,ClockClock,,
30,Woman's World,Katy Perry,,
31,Friends,Kamrad,,
32,The Emptiness Machine,Linkin Park,,
33,Lifeline,Glockenbach x Ella Henderson,,
34,Piano,Kelvin Jones,,
35,Why Why Why,Shawn Mendes,,
36,Spot A Fake,Ava Max,,
37,Electricity,Fast Boy x R3hab,,
38,Bad Dreams,Teddy Swims,,
39,Simple Life,Leony,,
40,The Feeling,Lost Frequencies,,
