Platz,Titel,Interpret,Vorw.,Diff.
40,Belong Together,Mark Ambor,,
39,Guilty,Teddy Swims,,
38,Rebellion,R3hab x Michael Patrick Kelly x Shaggy,,
37,I Adore You,HUGEL x Topic x Arash feat. Daecolm,,
36,Lost Your Faith,Ava Max,,
35,APT.,Rosé & Bruno Mars,,
34,Human Being,Nico Santos,,
33,Born Again ,Lisa x Doja Cat x Raye,,
32,Flowers ,Alle Farben x Graham Candy x Lahos,,
31,Houdini,Eminem,,
30,Castaways,Milow feat. Florence Arman,,
29,Too Sweet,Hozier,,
28,Spot A Fake,Ava Max,,
27,All My Life,Purple Disco Machine x The Magician,,
26,Left In Your Love,Loi,,
25,The Emptiness Machine,Linkin Park,,
24,Forbidden Road,Robbie Williams,,
23,Million Good Reasons,Robin Schulz x Fast Boy,,
22,Slow Motion,Marshmello x Jonas Brothers,,
21,Austin (Boots Stop Workin'),Dasha,,
20,Walk With Me,Felix Jaehn x Shouse,,
19,Messy,Lola Young,,
18,Dancing In The Flames,The Weeknd,,
17,Bad Dreams,Teddy Swims,,
16,Rock N Roll,Leony x G-Eazy,,
15,Wave,Fast Boy x Raf,,
14,Traitor,Zoe Wees,,
13,Better Days,Glockenbach feat. Declan J Donovan,,
12,Broken Sunshine,Michael Schulte,,
11,Love Is The Only Thing,Lost Frequencies,,
10,Someday Soon,ClockClock,,
9,A Bar Song (Tipsy),Shaboozey,,
8,Thee Unknown,Ray Dalton,,
7,That's So True,Gracie Abrams,,
6,Chasing Paradise,Kygo x OneRepublic,,
5,Touch Me,ÁSDÍS,,
4,Nice To Meet You,Myles Smith,,
3,Forever Young,David Guetta x Alphaville x Ava Max,,
2,Ray Of Light,Nico Santos,,
1,By Your Side (In My Mind),Leony,,
